id	composite_no
P432039	Q000928
P432040	Q000929
P432041	Q001567
P432042	Q001568
P432043	Q001569
P432044	Q001570
P432045	Q001571
P432046	Q001572
P432047	Q001573
P432048	Q001574
P432049	Q001575
P432050	Q001576
P432051	Q001577
P432052	Q001578
P432053	Q000930
P432054	Q000931
P432055	Q001579
P432056	Q001580
P432057	Q001581
P432058	Q000932
P432059	Q001582
P432060	Q001583
P432061	Q004892
P432062	Q001584
P432063	Q000933
P432064	Q001585
P432065	Q001586
P432066	Q001587
P432067	Q001588
P432068	Q001589
P432069	Q000934
P432070	Q001590
P432071	Q001591
P432072	Q001592
P432073	Q001593
P432074	Q001594
P432075	Q001595
P432076	Q001596
P432077	Q001597
P432078	Q001598
P432079	Q001599
P432080	Q001600
P432081	Q001601
P432082	Q001602
P432083	Q001603
P432084	Q001604
P432085	Q001605
P432086	Q001606
P432087	Q001607
P432088	Q001608
P432089	Q001609
P432090	Q001610
P432091	Q001611
P432092	Q001612
P432093	Q001613
P432094	Q001614
P432095	Q001615
P432096	Q001616
P432111	Q001618
P432112	Q000935
P432113	Q001619
P432114	Q000936
P432115	Q000937
P432116	Q001620
P432117	Q001621
P432118	Q001622
P432119	Q001623
P432120	Q000938
P432121	Q000939
P432122	Q000940
P432123	Q000941
P432124	Q000942
P432125	Q000943
P432126	Q000944
P432127	Q000945
P432128	Q001624
P432129	Q000946
P432130	Q000947
P432131	Q005348
P432132	Q001627
P432133	Q001628
P432134	Q000949
P432135	Q000950
P432136	Q000951
P432137	Q001629
P432138	Q000952
P432139	Q001630
P432140	Q001631
P432141	Q001632
P432142	Q001633
P432143	Q000953
P432144	Q000954
P432145	Q000955
P432146	Q001634
P432147	Q000956
P432148	Q001635
P432149	Q000957
P432150	Q000958
P432151	Q001636
P432152	Q001637
P432153	Q001638
P432154	Q001639
P432155	Q001640
P432156	Q001641
P432157	Q001642
P432158	Q001643
P432159	Q001644
P432160	Q001645
P432161	Q001646
P432162	Q001647
P432163	Q001648
P432164	Q000959
P432166	Q001651
P432167	Q001652
P432168	Q000960
P432169	Q000961
P432170	Q001653
P432171	Q000962
P432172	Q001654
P432173	Q001655
P432174	Q000963
P432175	Q000964
P432176	Q000965
P432177	Q000966
P432178	Q000967
P432179	Q001656
P432180	Q001657
P432181	Q000968
P432182	Q001658
P432183	Q000969
P432184	Q001660
P432185	Q000971
P432186	Q000972
P432187	Q000973
P432188	Q001661
P432189	Q001662
P432190	Q001663
P432191	Q001665
P432192	Q000974
P432193	Q001666
P432194	Q000975
P432195	Q000976
P432196	Q000977
P432197	Q001667
P432198	Q001668
P432199	Q001672
P432200	Q000978
P432201	Q001673
P432202	Q001674
P432203	Q000979
P432204	Q001675
P432205	Q001676
P432206	Q001678
P432207	Q001679
P432208	Q001680
P432209	Q001681
P432210	Q001682
P432211	Q001683
P432212	Q001684
P432213	Q001685
P432214	Q001686
P432215	Q001687
P432216	Q001688
P432217	Q001689
P432218	Q001690
P432219	Q001691
P432220	Q001692
P432221	Q001693
P432222	Q001694
P432223	Q001695
P432224	Q001697
P432225	Q001698
P432226	Q001704
P432227	Q001715
P432228	Q001717
P432229	Q001718
P432230	Q001720
P432231	Q001729
P432232	Q001732
P432233	Q001738
P432234	Q001739
P432235	Q001740
P432238	Q001758
P432239	Q001759
P432240	Q001760
P432241	Q001761
P432242	Q001762
P432243	Q001763
P432244	Q001764
P432249	Q001769
P432250	Q001770
P432251	Q001772
P432252	Q001773
P432253	Q001774
P432254	Q001775
P432255	Q001776
P432256	Q000981
P432257	Q001789
P432258	Q001790
P432259	Q000982
P432260	Q001791
P432261	Q001792
P432262	Q001793
P432263	Q000983
P432264	Q000984
P432265	Q000985
P432266	Q001794
P432267	Q001795
P432268	Q000986
P432269	Q000987
P432270	Q000988
P432271	Q000989
P432272	Q000990
P432273	Q001796
P432274	Q001797
P432275	Q001799
P432276	Q001801
P432277	Q001808
P432278	Q001809
P432279	Q000991
P432280	Q000992
P432281	Q001812
P432282	Q001813
P432283	Q000995
P432284	Q001816
P432285	Q000996
P432286	Q000997
P432287	Q001817
P432288	Q000998
P432289	Q000999
P432290	Q001000
P432291	Q001818
P432292	Q001001
P432293	Q001002
P432294	Q001003
P432295	Q001819
P432296	Q001820
P432297	Q001821
P432298	Q001822
P432299	Q001823
P432300	Q001824
P432301	Q001825
P432302	Q001826
P432303	Q001830
P432305	Q001845
P432306	Q001846
P432307	Q001005
P432308	Q001849
P432309	Q001851
P432310	Q001852
P432312	Q001859
P432313	Q001860
P432314	Q001869
P432315	Q001870
P432316	Q001871
P432317	Q001872
P432318	Q001873
P432319	Q001874
P432320	Q001875
P432321	Q001876
P432322	Q001877
P432323	Q001007
P432324	Q001878
P432325	Q001879
P432326	Q001880
P432327	Q001881
P432328	Q001882
P432329	Q001883
P432330	Q001884
P432331	Q001885
P432332	Q001886
P432333	Q001887
P432334	Q001888
P432335	Q004896
P432336	Q001890
P432337	Q001891
P432338	Q004897
P432339	Q001893
P432340	Q001894
P432341	Q001895
P432342	Q001896
P432343	Q001008
P432344	Q001897
P432345	Q001898
P432346	Q001899
P432347	Q001900
P432348	Q001901
P432349	Q001902
P432350	Q001903
P432351	Q001904
P432352	Q001905
P432353	Q001906
P432354	Q001907
P432355	Q001908
P432356	Q001909
P432357	Q001910
P432358	Q001911
P432359	Q001912
P432360	Q001913
P432361	Q001914
P432362	Q001916
P432363	Q001009
P432364	Q001917
P432365	Q001918
P432366	Q001011
P432367	Q005354
P432370	Q005355
P432371	Q001012
P432372	Q005356
P432373	Q005357
P432377	Q005358
P432378	Q001015
P432379	Q005349
P432400	Q004864
P432478	Q000361
P433096	Q000376
P448153	Q008445
P448239	Q000585
P448277	Q001920
P448278	Q001934
P448279	Q001935
P448280	Q001936
P448282	Q001940
P448283	Q001941
P448284	Q001942
P448285	Q001943
P448286	Q001945
P448287	Q001946
P448288	Q001947
P448289	Q001948
P448290	Q001949
P448291	Q001950
P448292	Q001951
P448293	Q001952
P448294	Q001953
P448295	Q001954
P448296	Q001955
P448297	Q001957
P448298	Q001958
P448299	Q001959
P448300	Q001960
P448301	Q006343
P448302	Q001961
P448303	Q001962
P448304	Q001963
P448305	Q001964
P448306	Q001965
P448307	Q004104
P448308	Q001971
P448309	Q001973
P448310	Q001974
P448311	Q001975
P448312	Q001976
P448314	Q001979
P448318	Q001983
P448319	Q001984
P448320	Q001985
P448321	Q001986
P448322	Q001987
P448323	Q001988
P448324	Q001989
P448325	Q001991
P448326	Q001992
P448327	Q001994
P448328	Q001995
P448329	Q001997
P448330	Q001998
P448331	Q001999
P448332	Q002000
P448333	Q002001
P448336	Q002005
P448337	Q002006
P448338	Q002007
P448339	Q002008
P448340	Q002009
P448341	Q006373
P448342	Q006374
P448343	Q006375
P448345	Q002014
P448346	Q002015
P448347	Q002016
P448348	Q002017
P448349	Q002022
P448350	Q002023
P448351	Q002024
P448353	Q002032
P448354	Q002033
P448355	Q002034
P448356	Q002035
P448357	Q002040
P448358	Q002042
P448359	Q002043
P448360	Q002044
P448361	Q002045
P448362	Q002046
P448363	Q002047
P448364	Q002048
P448365	Q002063
P448366	Q002064
P448367	Q002065
P448368	Q002066
P448369	Q002067
P448370	Q002068
P448371	Q006365
P448372	Q002070
P448373	Q002071
P448374	Q002072
P448375	Q002073
P448376	Q002074
P448377	Q002075
P448378	Q002076
P448379	Q002077
P448380	Q002094
P448382	Q002096
P448383	Q002097
P448384	Q002098
P448385	Q002099
P448386	Q002102
P448387	Q002103
P448388	Q002105
P448389	Q002106
P448390	Q002107
P448391	Q002108
P448392	Q002109
P448393	Q002110
P448394	Q002111
P448395	Q002112
P448396	Q002113
P448397	Q002114
P448398	Q002138
P448399	Q002139
P448400	Q006366
P448401	Q002115
P448402	Q002116
P448403	Q002117
P448404	Q002118
P448405	Q002119
P448406	Q002120
P448407	Q002121
P448408	Q002122
P448409	Q002123
P448410	Q002124
P448411	Q002141
P448412	Q002125
P448413	Q002126
P448414	Q002127
P448415	Q002128
P448416	Q002129
P448417	Q002130
P448418	Q002131
P448419	Q002132
P448420	Q002133
P448421	Q002134
P448422	Q002178
P448423	Q006367
P448424	Q002179
P448425	Q002147
P448426	Q002174
P448427	Q002175
P448428	Q002148
P448429	Q006369
P448430	Q002154
P448431	Q002155
P448432	Q002156
P448433	Q002149
P448434	Q002157
P448435	Q006368
P448436	Q002177
P448437	Q002158
P448438	Q002159
P448439	Q002160
P448440	Q002176
P448441	Q002152
P448442	Q002153
P448443	Q002161
P448444	Q002162
P448445	Q002166
P448446	Q002167
P448447	Q002168
P448448	Q002169
P448449	Q002170
P448450	Q002171
P448451	Q002172
P448456	Q008465
P448457	Q008466
P448458	Q002163
P448460	Q002165
P448461	Q006371
P448462	Q006372
P448467	Q002180
P448468	Q002181akk
P448469	Q007335
P448470	Q006384
P448471	Q002182
P448472	Q002183
P448473	Q006385
P448474	Q006386
P448475	Q002184
P448476	Q002185
P448477	Q002186
P448478	Q002187
P448479	Q002188akk
P448480	Q007334
P448481	Q002189
P448482	Q002190Sum
P448483	Q002191
P448484	Q002192
P448485	Q006383
P448486	Q002193
P448487	Q002194
P448488	Q002195
P448489	Q002196
P448490	Q002197
P448491	Q002198
P448492	Q002199
P448493	Q002204
P448495	Q006388
P448496	Q006390
P448497	Q002220akk
P448498	Q002221
P448499	Q002222akk
P448500	Q002222sum
P448501	Q002223
P448502	Q002224akk
P448503	Q007331
P448504	Q002225akk
P448505	Q007330
P448506	Q006391
P448507	Q002226
P448508	Q006389
P448509	Q002231
P448510	Q002232
P448511	Q002233
P448512	Q002234
P448513	Q002235
P448514	Q002236
P448515	Q006382
P448516	Q002237
P448517	Q002238
P448518	Q002239
P448519	Q002240
P448520	Q002241
P448521	Q002242
P448522	Q002243
P448523	Q002244
P448524	Q002245
P448525	Q002246
P448526	Q002247
P448527	Q002248
P448528	Q002249
P448529	Q002250
P448530	Q002251
P448532	Q002252
P448533	Q002253
P448534	Q006393
